N_DISC,treatment_value_idx,T,EPOs_1,EPOs_2,true_effect
16,7,0.44468581676483154,-1.1156636476516724,-1.1745575666427612,-0.7904988957137604
16,8,0.46866366267204285,-1.2011196613311768,-1.1883891820907593,-0.8275045109894985
16,9,0.4922451376914978,-1.0734728574752808,-1.0225183963775635,-0.8633376375925348
16,10,0.5165180563926697,-0.904110848903656,-0.8960163593292236,-0.8996406614955088
16,11,0.5446606874465942,-0.8617367148399353,-0.8060455322265625,-0.9409937426682902
16,12,0.5757784247398376,-1.1723220348358154,-1.123434066772461,-0.9857964522817309
16,13,0.6103431582450867,-0.7035594582557678,-0.7791590690612793,-1.0344269310818799
16,14,0.656697154045105,-1.0792182683944702,-0.9646308422088623,-1.0977687320247398
16,15,0.7616016268730164,-0.7022528052330017,,-1.23318473471822
17,0,0.1495981514453888,,-0.45412278175354004,-0.28800649943283885
17,1,0.24408027529716492,-0.7596960663795471,-0.7234611511230469,-0.4583729601997599
17,2,0.2933180034160614,-0.8873400092124939,-0.7888186573982239,-0.5436182812681305
17,3,0.3286387622356415,-0.9646737575531006,-0.939000129699707,-0.6032758064493957
17,4,0.35862863063812256,-0.8271496295928955,-0.8326547145843506,-0.6529500139195576
17,5,0.3852480947971344,-0.856306254863739,-0.8364870548248291,-0.6962881423218579
17,6,0.40692293643951416,-0.7031286358833313,-0.7088974714279175,-0.7310527347787499
17,7,0.4320564568042755,-0.5880107879638672,-0.5518316030502319,-0.7707765226754186
17,8,0.4574679732322693,-1.3825267553329468,-1.4168652296066284,-0.8102974731979184
17,9,0.4788368046283722,-0.9136196970939636,-0.9292846322059631,-0.8430312665233894
17,10,0.5009350180625916,-1.1617377996444702,-1.1008068323135376,-0.8764020899644986
17,11,0.5257616639137268,-0.9147759079933167,-0.9395408034324646,-0.9133106642067883
17,12,0.5526942014694214,-0.9263574481010437,-0.8745681047439575,-0.9526529627698821
17,13,0.5818379521369934,-1.2927765846252441,-1.2163150310516357,-0.9944082030005017
17,14,0.6163469552993774,-0.5623611211776733,-0.6061654090881348,-1.0427521259453485
17,15,0.6613601446151733,-1.1561909914016724,-1.0562608242034912,-1.1040216687876452
17,16,0.7657358646392822,-0.5787575840950012,,-1.2382960220811299
18,0,0.14651820063591003,,-0.4008370637893677,-0.2823026097130277
18,1,0.23907245695590973,-0.784138560295105,-0.7340418100357056,-0.4495670940743518
18,2,0.28796324133872986,-0.9368183016777039,-0.8915508389472961,-0.5344650684963059
18,3,0.32236248254776,-0.9368786215782166,-0.9338734745979309,-0.5927661800183426
18,4,0.3516670763492584,-0.732471764087677,-0.6909793019294739,-0.6414992864044993
18,5,0.3776191771030426,-0.8980125784873962,-0.8725014328956604,-0.6839402327480957
18,6,0.39920514822006226,-0.7294532060623169,-0.7359175682067871,-0.7187279212574236
18,7,0.4207896590232849,-0.5136622786521912,-0.47063329815864563,-0.7530473494761036
18,8,0.44638189673423767,-1.090944528579712,-1.1532020568847656,-0.7931353946024475
18,9,0.4673781096935272,-1.1263054609298706,-1.1341001987457275,-0.8255350706767071
18,10,0.4883519411087036,-1.3279191255569458,-1.292478322982788,-0.8574600730250879
18,11,0.5091075301170349,-0.6553479433059692,-0.6549072265625,-0.888619821623136
