N_DISC,treatment_value_idx,T,EPOs_1,EPOs_2,true_effect
21,16,0.6877720952033997,0.4452049434185028,0.394089937210083,0.6703206503229939
21,17,0.727846622467041,0.44159573316574097,0.3682239055633545,0.7076084935085724
21,18,0.777399480342865,0.41857948899269104,0.33211538195610046,0.7502613146812049
21,19,0.8343576788902283,0.4392397701740265,0.3157852292060852,0.8030340701469445
21,20,0.9212152361869812,0.5080539584159851,,0.8891286122106892
22,0,0.1355568915605545,,0.5386107563972473,0.16298844234798154
22,1,0.21985359489917755,0.6068814992904663,0.5472870469093323,0.2164020530003799
22,2,0.26541420817375183,0.5938354730606079,0.5548539757728577,0.2507840124434351
22,3,0.3024083077907562,0.5871949195861816,0.5607879161834717,0.2815790691166476
22,4,0.33244967460632324,0.5776817202568054,0.5417912006378174,0.3099973548755626
22,5,0.36140984296798706,0.5741916298866272,0.5380104780197144,0.3378269153784819
22,6,0.38892295956611633,0.5503770112991333,0.5130285620689392,0.3654559907644773
22,7,0.4171774387359619,0.5306029319763184,0.498973548412323,0.392942852161693
22,8,0.44420549273490906,0.526803731918335,0.5027924180030823,0.4204728675376519
22,9,0.4694223701953888,0.5143479704856873,0.4930573105812073,0.44754947894759883
22,10,0.49505674839019775,0.5272125601768494,0.5004726052284241,0.4742873053436621
22,11,0.5209267735481262,0.5244728326797485,0.49240925908088684,0.5019680079497588
22,12,0.5473138689994812,0.5038400888442993,0.4637887477874756,0.5293305306256829
22,13,0.5735382437705994,0.4898325502872467,0.45003554224967957,0.5562560894454848
22,14,0.6012961268424988,0.48367002606391907,0.44332316517829895,0.5853259487902756
22,15,0.6292956471443176,0.46367669105529785,0.42259129881858826,0.6145990419537853
22,16,0.6597480773925781,0.4574839174747467,0.4132890999317169,0.6448994939609886
22,17,0.6956061124801636,0.43464258313179016,0.38657644391059875,0.6775077131239514
22,18,0.7348436713218689,0.4389708340167999,0.3657230734825134,0.7138494844744321
22,19,0.7835383415222168,0.418350487947464,0.3308699131011963,0.7557274393155515
22,20,0.8387494087219238,0.4369415044784546,0.3159475326538086,0.8070723553147928
22,21,0.9236887693405151,0.5088046193122864,,0.8919023252337336
23,0,0.13311558961868286,,0.5396140217781067,0.16164340104206884
23,1,0.21647138893604279,0.6056988835334778,0.5454623699188232,0.2138544170113323
23,2,0.26101890206336975,0.5935514569282532,0.5545760989189148,0.2475865413960203
